Enrollment (# of students who started the program),,,,,,,,,,,,,,,,,,
Gender,dropouts (SY),%,dropouts (Summer),,,,# dropout (24/25),%,,,,,,,,,,
Woman or Girl,0,#REF!,0,,,,19,19%,,,,,,,,,,
Non-Binary or Gender Non-Conforming,0,#REF!,0,,,,,,,,,,,,,,,
Man or Boy,0,#REF!,0,,,,,,,,,,,,,,,
Another identity not listed here,0,#REF!,0,,,,,,,,,,,,,,,
Prefer not to say,0,#REF!,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Grade,dropouts (SY),%,dropouts (Summer),,,,,,,,,,,,,,,
9th,0,#REF!,0,,,,,,,,,,,,,,,
10th,0,#REF!,0,,,,,,,,,,,,,,,
11th,0,#REF!,0,,,,,,,,,,,,,,,
12th,0,#REF!,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Disability,dropouts (SY),%,dropouts (Summer),,,,,,,,,,,,,,,
Yes,0,0%,,,,,,,,,,,,,,,,
No / Unknown,0,#N/A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Race/Ethnicity (Select All),dropouts (SY),%,,,,,,,,,,,,,,,,
Black or African-American,0,#REF!,,,,,,,,,,,,,,,,
"American Indian, Alaska native or First Nations",0,#REF!,,,,,,,,,,,,,,,,
Asian,0,#REF!,,,,,,,,,,,,,,,,
Hispanic or Latinx,0,#REF!,,,,,,,,,,,,,,,,
Middle Eastern or North African,0,#REF!,,,,,,,,,,,,,,,,
Native Hawaiian or other Pacific Islander,0,#REF!,,,,,,,,,,,,,,,,
White,0,#REF!,,,,,,,,,,,,,,,,
Prefer not to say,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Family Income,dropouts (SY),%,,,,,,,,,,,,,,,,
"< $50,000",0,#REF!,,,,,,,,,,,,,,,,
"$50,000 - $74,999",0,#REF!,,,,,,,,,,,,,,,,
"$75,000 - $99,999",0,#REF!,,,,,,,,,,,,,,,,
"$100,000 - $200,000",0,#REF!,,,,,,,,,,,,,,,,
"> $200,000",0,#REF!,,,,,,,,,,,,,,,,
